Liga: Serie_A   ; powers: p0.m; epowers: p2.m; lnpowers: p3.m; SUM: 24.32
Liga: Bundesliga; powers: p0.m; epowers: p23.m; lnpowers: p3.m; SUM: -20.45
Liga: LaLiga    ; powers: p0.m; epowers: p23.m; lnpowers: p3.m; SUM: -0.67
Liga: Ligue_1   ; powers: p0.m; epowers: p23.m; lnpowers: p3.m; SUM: 35.49
Liga: Serie_A   ; powers: p0.m; epowers: p23.m; lnpowers: p3.m; SUM: 16.44
Liga: Bundesliga; powers: p0.m; epowers: p3.m; lnpowers: p3.m; SUM: -16.04
Liga: LaLiga    ; powers: p0.m; epowers: p3.m; lnpowers: p3.m; SUM: 0.05
Liga: Ligue_1   ; powers: p0.m; epowers: p3.m; lnpowers: p3.m; SUM: 47.09
Liga: Serie_A   ; powers: p0.m; epowers: p3.m; lnpowers: p3.m; SUM: 26.1
Liga: Bundesliga; powers: p1.m; epowers: p0.m; lnpowers: p0.m; SUM: -10.13
Liga: LaLiga    ; powers: p1.m; epowers: p0.m; lnpowers: p0.m; SUM: 6.26
Liga: Ligue_1   ; powers: p1.m; epowers: p0.m; lnpowers: p0.m; SUM: 55.52
Liga: Serie_A   ; powers: p1.m; epowers: p0.m; lnpowers: p0.m; SUM: 21.18
Liga: Bundesliga; powers: p1.m; epowers: p1.m; lnpowers: p0.m; SUM: -14.91
Liga: LaLiga    ; powers: p1.m; epowers: p1.m; lnpowers: p0.m; SUM: 4.4
Liga: Ligue_1   ; powers: p1.m; epowers: p1.m; lnpowers: p0.m; SUM: 42.52
Liga: Serie_A   ; powers: p1.m; epowers: p1.m; lnpowers: p0.m; SUM: 8.93
Liga: Bundesliga; powers: p1.m; epowers: p12.m; lnpowers: p0.m; SUM: -25.27
Liga: LaLiga    ; powers: p1.m; epowers: p12.m; lnpowers: p0.m; SUM: -1.29
Liga: Ligue_1   ; powers: p1.m; epowers: p12.m; lnpowers: p0.m; SUM: 47.17
Liga: Serie_A   ; powers: p1.m; epowers: p12.m; lnpowers: p0.m; SUM: 17.18
Liga: Bundesliga; powers: p1.m; epowers: p123.m; lnpowers: p0.m; SUM: -11.74
Liga: LaLiga    ; powers: p1.m; epowers: p123.m; lnpowers: p0.m; SUM: 2.38
Liga: Ligue_1   ; powers: p1.m; epowers: p123.m; lnpowers: p0.m; SUM: 56.47
Liga: Serie_A   ; powers: p1.m; epowers: p123.m; lnpowers: p0.m; SUM: 12.6
Liga: Bundesliga; powers: p1.m; epowers: p13.m; lnpowers: p0.m; SUM: -17.21
Liga: LaLiga    ; powers: p1.m; epowers: p13.m; lnpowers: p0.m; SUM: 2.41
Liga: Ligue_1   ; powers: p1.m; epowers: p13.m; lnpowers: p0.m; SUM: 44.55
Liga: Serie_A   ; powers: p1.m; epowers: p13.m; lnpowers: p0.m; SUM: 14.22
Liga: Bundesliga; powers: p1.m; epowers: p2.m; lnpowers: p0.m; SUM: -15.5
Liga: LaLiga    ; powers: p1.m; epowers: p2.m; lnpowers: p0.m; SUM: 2.15
Liga: Ligue_1   ; powers: p1.m; epowers: p2.m; lnpowers: p0.m; SUM: 36.48
Liga: Serie_A   ; powers: p1.m; epowers: p2.m; lnpowers: p0.m; SUM: 30.44
Liga: Bundesliga; powers: p1.m; epowers: p23.m; lnpowers: p0.m; SUM: -21.73
Liga: LaLiga    ; powers: p1.m; epowers: p23.m; lnpowers: p0.m; SUM: 5.18
Liga: Ligue_1   ; powers: p1.m; epowers: p23.m; lnpowers: p0.m; SUM: 50.96
Liga: Serie_A   ; powers: p1.m; epowers: p23.m; lnpowers: p0.m; SUM: 17.69
Liga: Bundesliga; powers: p1.m; epowers: p3.m; lnpowers: p0.m; SUM: -13.7
Liga: LaLiga    ; powers: p1.m; epowers: p3.m; lnpowers: p0.m; SUM: 0.86
Liga: Ligue_1   ; powers: p1.m; epowers: p3.m; lnpowers: p0.m; SUM: 43.69
Liga: Serie_A   ; powers: p1.m; epowers: p3.m; lnpowers: p0.m; SUM: 18.91
Liga: Bundesliga; powers: p1.m; epowers: p0.m; lnpowers: p1.m; SUM: -25.01
